"uid","namedLocation","date","eventID","domainID","siteID","plotID","individualID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks","recordedBy","measuredBy","dataQF"
"5dca0e1b-535d-4b5b-919a-a27f275b2dec","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","NEON.PLA.D16.WREF.02191","ok","single shrub","Live",2.1,130,3.5,NA,NA,NA,4.7,2.8,NA,"oblate half-sphere",2.4,10,NA,NA,"","6GcJ3e14hu2LGG3nGEbIL3jvGLpI7eRMz84sdZxzGcA=","n6C8QabM4GRwBBSExkcug8ZHbDzuixegaGvj2qZxMy8=","legacyData"
"8a86be1e-8b4f-426a-bee6-e91522e5c22a","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05786","ok","single bole tree","Live",11.8,137,8.4,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"1615030c-b336-4495-a3b5-e9c788d630a0","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04004","ok","multi-bole tree","Live",10.8,130,10.4,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"976d225d-3e1d-4dd9-bbd6-166bf8a37d6a","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05512","ok","single bole tree","Live, broken bole",11.3,134,7.2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"2a48855e-a076-48a0-8d70-91f131962ac1","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05532","ok","small tree","Live, physically damaged",3.6,130,2.2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Leaning at nearly 45%","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"b3514811-7da5-4b4e-825e-f460c049c855","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05506","ok","single bole tree","Live",12.1,130,10.9,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"80702e2a-4c11-41b9-84ed-ff162628bfa6","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04022","ok","small shrub","Live",NA,NA,0.9,NA,NA,NA,0.8,0.6,NA,"half-sphere",1.2,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"a4958575-d2e5-4338-996f-0539e484d98c","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","NEON.PLA.D16.WREF.04666","ok","small shrub","Live",NA,NA,0.5,NA,NA,NA,0.9,0.7,NA,"oblate half-sphere",1,10,NA,NA,"","6GcJ3e14hu2LGG3nGEbIL3jvGLpI7eRMz84sdZxzGcA=","n6C8QabM4GRwBBSExkcug8ZHbDzuixegaGvj2qZxMy8=","legacyData"
"3aab9980-b6f5-4e50-8fbc-48c4cbdc3c23","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04047","ok","small tree","Live",3.9,130,3.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"f8c114f6-fb24-416a-8e93-d0b5c64fe41f","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04040","ok","small tree","Live",2.8,130,3.9,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"8c9494f6-8486-46d5-91bf-1a6f4cf5351c","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04013","ok","single bole tree","Live",13.9,130,11.2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"1ff85532-7b69-4fe3-b8e0-3b7e7d32c9f8","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04023","ok","sapling","Live",NA,NA,1.4,NA,NA,NA,NA,NA,NA,"",1.2,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"4dc20166-9da7-49fb-b4ef-acbd58b2f6f7","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04039","ok","single bole tree","Dead, broken bole",31,130,1.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Significantly decayed at dbh","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"7189a23e-5034-4eb1-afae-1b51d39d7a3c","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04030","ok","small shrub","Live",NA,NA,1.9,NA,NA,NA,1.4,1,NA,"oblate half-sphere",1.4,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"804c7080-8f46-4313-98f1-a9982e03ea0c","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04008","ok","single bole tree","Dead, broken bole",54.9,130,2.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"9bdd47c9-b54c-4c40-b2ff-d50d987826a7","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","NEON.PLA.D16.WREF.02182","ok","small shrub","Live, physically damaged",NA,NA,0.7,NA,NA,NA,0.3,0.3,NA,"cylinder",1,10,NA,NA,"Browsed","6GcJ3e14hu2LGG3nGEbIL3jvGLpI7eRMz84sdZxzGcA=","n6C8QabM4GRwBBSExkcug8ZHbDzuixegaGvj2qZxMy8=","legacyData"
"4743df97-f039-4538-a1e5-1826f8f7c1c1","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04025","ok","small shrub","Live",NA,NA,1.9,NA,NA,NA,1,0.9,NA,"inverted cone",1.6,10,0.2,0.1,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"0dc9ff60-ec75-433d-b8b3-7e203a90c29a","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05508","ok","single bole tree","Live",18.9,130,14.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"bfcb775b-af45-484e-8b39-01055113e31f","WREF_076.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_076","NEON.PLA.D16.WREF.04310","ok","small tree","Live",6.3,130,6.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","6GcJ3e14hu2LGG3nGEbIL3jvGLpI7eRMz84sdZxzGcA=","n6C8QabM4GRwBBSExkcug8ZHbDzuixegaGvj2qZxMy8=","legacyData"
"3be5cc8b-9709-4671-b70c-230b6b29a783","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04010","ok","single bole tree","Live",18.6,130,13,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"27fb2d0b-e3aa-4f1a-b34a-dc3b9407fb41","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04033","ok","small shrub","Live",NA,NA,2.2,NA,NA,NA,0.8,0.7,NA,"cylinder",2,10,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"78cfe6d8-586b-4062-bb64-a67f912918b3","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.05510","ok","single bole tree","Live",19.5,130,12.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
"2aeb57ca-2e40-49f8-bb3e-d200f677ba4a","WREF_076.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_076","NEON.PLA.D16.WREF.04668","ok","multi-bole tree","Live",6,130,4.8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","6GcJ3e14hu2LGG3nGEbIL3jvGLpI7eRMz84sdZxzGcA=","n6C8QabM4GRwBBSExkcug8ZHbDzuixegaGvj2qZxMy8=","legacyData"
"a2d2db8b-aaf4-408f-8c9e-1aa0c50b8649","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","NEON.PLA.D16.WREF.04659","ok","sapling","Live",NA,NA,0.5,NA,NA,NA,NA,NA,NA,"",1.2,10,NA,NA,"","6GcJ3e14hu2LGG3nGEbIL3jvGLpI7eRMz84sdZxzGcA=","n6C8QabM4GRwBBSExkcug8ZHbDzuixegaGvj2qZxMy8=","legacyData"
"cc5d94c7-e92e-424f-b74a-d9365fa6a077","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","NEON.PLA.D16.WREF.02183","ok","small shrub","Live",NA,NA,0.9,0.5,NA,NA,0.7,0.6,NA,"ellipsoid or sphere",1,10,NA,NA,"","6GcJ3e14hu2LGG3nGEbIL3jvGLpI7eRMz84sdZxzGcA=","n6C8QabM4GRwBBSExkcug8ZHbDzuixegaGvj2qZxMy8=","legacyData"
"c612c355-d3b7-46ca-98b2-a6e5b3a14836","WREF_080.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_080","NEON.PLA.D16.WREF.04493","ok","single bole tree","Live",21.5,130,13.2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","legacyData"
