"uid","namedLocation","date","eventID","domainID","siteID","plotID","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","cfcOnlyTag","individualID","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks","measuredBy","recordedBy","dataQF"
"133d5855-6bf2-4628-b506-5447c89e7cb7","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41",NA,"61",16.5,243.1,"N","NEON.PLA.D16.WREF.02108",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"48207409-515a-49fe-a5c1-977df9dba8c9","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.02106",NA,NA,"NEON.DOC.000987vG","MANE2","Mahonia nervosa (Pursh) Nutt.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"18c14c5d-76dc-4fb4-b00e-7b0c67ffd7c5","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.02122",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"17dc5ab2-6b48-4064-846f-9fb520d35f1c","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04608",NA,NA,"NEON.DOC.000987vG","MANE2","Mahonia nervosa (Pursh) Nutt.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"17a0132f-b830-4a9e-9089-76923ad6d5ce","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.02103",NA,NA,"NEON.DOC.000987vG","GASH","Gaultheria shallon Pursh","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"e0be77f2-6f53-43fd-9aaf-fde139183d73","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04616",NA,NA,"NEON.DOC.000987vG","MANE2","Mahonia nervosa (Pursh) Nutt.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"a0377e7c-9f33-4d90-adce-306992ed7705","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.04605",NA,NA,"NEON.DOC.000987vG","VAPA","Vaccinium parvifolium Sm.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"c078cd65-e6ee-43d0-918b-9bcb4d3b941b","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04612",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
"4c091842-1365-443b-83fd-e615e1b40057","WREF_070.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_070","39",NA,"41",7.4,314.7,"N","NEON.PLA.D16.WREF.04082",NA,NA,"NEON.DOC.000987vG","TABR2","Taxus brevifolia Nutt.","species",NA,"",NA,"","","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=","tVmsHvU48bLy1stjrb+Uos0Ca8JyM7gnatLsj09kBuI=",NA
"6b810ee4-85f4-4397-8fa9-24f0c27a6541","WREF_070.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_070","39","1",NA,NA,NA,"N","NEON.PLA.D16.WREF.04220",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","XF7+6w3ZdG4dkrdZbAxOAZtdZV1tlY7Km4jqFmsFyAs=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA
"3a59d79e-7bc3-4c6b-9442-0520953f5f94","WREF_072.basePlot.vst","2017-10-25","vst_WREF_2017","D16","WREF","WREF_072","41","4",NA,NA,NA,"N","NEON.PLA.D16.WREF.02126",NA,NA,"NEON.DOC.000987vG","GASH","Gaultheria shallon Pursh","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA
